Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
213368,Airplane,WASHINGTON DULLES INTL ARPT,< 1000 ft,B-727,1,1,Unknown,4/2/02 0:00,No damage,3,FEDEX EXPRESS,DC,Approach,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,500.0,0,No
209588,Airplane,AIRBORNE AIRPARK,< 1000 ft,DC-9,1,1,Unknown,4/2/02 0:00,No damage,2,ABX AIR,Ohio,Approach,Unknown,False,False,Large,No Cloud,Great blue heron,N,0.0,700.0,0,No
214228,Airplane,PHILADELPHIA INTL,< 1000 ft,LEARJET-45,1,1,Unknown,4/2/02 0:00,Caused damage,2,BUSINESS,Pennsylvania,Climb,Unknown,False,False,Medium,No Cloud,Unknown bird - medium,Y,24087.0,100.0,0,No
207047,Airplane,PORT COLUMBUS INTL,< 1000 ft,DORNIER 328,1,1,Precautionary Landing,4/3/02 0:00,Caused damage,2,ATLANTIC COAST AIRLINES,Ohio,Climb,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,800.0,0,No
208749,Airplane,TACOMA NARROWS ARPT,< 1000 ft,C-177,1,1,Unknown,4/3/02 0:00,No damage,1,PRIVATELY OWNED,Washington,Approach,Unknown,False,False,Large,No Cloud,Bald eagle,N,63.0,75.0,0,No
211996,Airplane,CHICAGO MIDWAY INTL ARPT,< 1000 ft,B-737-700,1,1,Unknown,4/3/02 0:00,No damage,2,SOUTHWEST AIRLINES,Illinois,Take-off run,Unknown,False,False,Medium,Some Cloud,Red-tailed hawk,N,0.0,0.0,0,Yes
205795,Airplane,LIHUE ARPT,< 1000 ft,B-717-200,1,1,Unknown,4/3/02 0:00,No damage,2,HAWAIIAN AIR,Hawaii,Take-off run,Unknown,False,False,Small,No Cloud,Unknown bird - small,Y,0.0,0.0,0,No
211274,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,FOKKER F100,1,1,Unknown,4/6/02 0:00,No damage,2,AMERICAN AIRLINES,Texas,Approach,Unknown,False,False,Small,Overcast,Unknown bird - small,N,0.0,100.0,0,No
212871,Airplane,SAN FRANCISCO INTL ARPT,< 1000 ft,MD-11,1,1,Unknown,4/7/02 0:00,No damage,3,EVA AIR,California,Approach,Unknown,False,False,Large,Overcast,Unknown bird - large,N,0.0,900.0,0,No
215145,Airplane,LOUISA COUNTY ARPT/FREEMAN FLD,< 1000 ft,BE-23 SUNDOWNER,1,1,Other,4/7/02 0:00,Caused damage,1,PRIVATELY OWNED,Virginia,Approach,Unknown,False,False,Large,No Cloud,White-tailed deer,N,12677.0,5.0,0,No
215584,Airplane,NEW CASTLE COUNTY,< 1000 ft,BA-125-800,1,1,Aborted Take-off,4/8/02 0:00,No damage,2,BUSINESS,Delaware,Take-off run,Unknown,False,False,Small,Some Cloud,Unknown bird - small,Y,0.0,0.0,0,No
214504,Airplane,RENO TAHOE INTL,< 1000 ft,DC-9,1,1,Unknown,4/9/02 0:00,No damage,2,ABX AIR,Nevada,Approach,Unknown,False,False,Medium,Overcast,Unknown bird - medium,N,0.0,50.0,0,No
